edge_id,source_lemma,relation,target_lemma,source_options,target_options,selected_source_synset,selected_target_synset,decision,notes
ambrosia|RelatedTo|coconut,ambrosia,RelatedTo,coconut,ambrosia.n.04: (classical mythology) the food and drink of the gods; mortals who ate it became immortal,coconut.n.01: the edible white meat of a coconut; often shredded for use in e.g. cakes and curries || coconut.n.02: large hard-shelled oval nut with a fibrous husk containing thick white meat surrounding a central cavity filled (when fresh) with fluid or milk,,,pending,
ambrosia|RelatedTo|food,ambrosia,RelatedTo,food,ambrosia.n.04: (classical mythology) the food and drink of the gods; mortals who ate it became immortal,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
appendage|Synonym|extremity,appendage,Synonym,extremity,extremity.n.01: an external body part that projects from the body,extremity.n.01: an external body part that projects from the body || extremity.n.04: the outermost or farthest region or point || extremity.n.05: that part of a limb that is farthest from the torso,,,pending,
arm|RelatedTo|elbow,arm,RelatedTo,elbow,sleeve.n.01: the part of a garment that is attached at the armhole and that provides a cloth covering for the arm,elbow.n.04: the part of a sleeve that covers the elbow joint || elbow.n.05: the joint of a mammal or bird that corresponds to the human elbow,,,pending,
arm|RelatedTo|extremity,arm,RelatedTo,extremity,sleeve.n.01: the part of a garment that is attached at the armhole and that provides a cloth covering for the arm,extremity.n.01: an external body part that projects from the body || extremity.n.04: the outermost or farthest region or point || extremity.n.05: that part of a limb that is farthest from the torso,,,pending,
arm|RelatedTo|shoulder,arm,RelatedTo,shoulder,sleeve.n.01: the part of a garment that is attached at the armhole and that provides a cloth covering for the arm,shoulder.n.01: the part of the body between the neck and the upper arm || shoulder.n.03: a ball-and-socket joint between the head of the humerus and a cavity of the scapula || shoulder.n.04: the part of a garment that covers or fits over the shoulder,,,pending,
aspirate|MannerOf|inhale,aspirate,MannerOf,inhale,aspirate.v.03: suck in (air),inhale.v.01: draw deep into the lungs in by breathing || inhale.v.02: draw in (air),,,pending,
aspirate|RelatedTo|inhale,aspirate,RelatedTo,inhale,aspirate.v.03: suck in (air),inhale.v.01: draw deep into the lungs in by breathing || inhale.v.02: draw in (air),,,pending,
ass|Synonym|rump,ass,Synonym,rump,buttocks.n.01: the fleshy part of the human body that you sit on,buttocks.n.01: the fleshy part of the human body that you sit on || hindquarters.n.02: the part of an animal that corresponds to the human buttocks,,,pending,
axilla|RelatedTo|shoulder,axilla,RelatedTo,shoulder,armpit.n.01: the hollow under the arm where it is joined to the shoulder,shoulder.n.01: the part of the body between the neck and the upper arm || shoulder.n.03: a ball-and-socket joint between the head of the humerus and a cavity of the scapula || shoulder.n.04: the part of a garment that covers or fits over the shoulder,,,pending,
barnstorm|MannerOf|perform,barnstorm,MannerOf,perform,"barnstorm.v.01: appear at county fairs and carnivals as a stunt flier and parachute jumper || barnstorm.v.02: tour the country making political speeches, giving lectures, or presenting plays",perform.v.03: give a performance (of something),,,pending,
barony|RelatedTo|land,barony,RelatedTo,land,barony.n.03: the domain of a baron,country.n.02: the territory occupied by a nation || domain.n.02: territory over which rule or control is exercised,,,pending,
beef|IsA|food,beef,IsA,food,beef.n.02: meat from an adult domestic bovine,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
belly|IsA|inside,belly,IsA,inside,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis || belly.n.02: a protruding abdomen || belly.n.05: the underpart of the body of certain vertebrates such as snakes or fish,inside.n.01: the region that is inside of something,,,pending,
belly|RelatedTo|abdomen,belly,RelatedTo,abdomen,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis || belly.n.02: a protruding abdomen || belly.n.05: the underpart of the body of certain vertebrates such as snakes or fish,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis || abdominal_cavity.n.01: the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm,,,pending,
belly|RelatedTo|stomach,belly,RelatedTo,stomach,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis || belly.n.02: a protruding abdomen || belly.n.05: the underpart of the body of certain vertebrates such as snakes or fish,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis,,,pending,
belly|Synonym|abdomen,belly,Synonym,abdomen,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis || belly.n.02: a protruding abdomen || belly.n.05: the underpart of the body of certain vertebrates such as snakes or fish,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis || abdominal_cavity.n.01: the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm,,,pending,
bellybutton|DerivedFrom|belly,bellybutton,DerivedFrom,belly,navel.n.01: a scar where the umbilical cord was attached,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis || belly.n.02: a protruding abdomen || belly.n.05: the underpart of the body of certain vertebrates such as snakes or fish,,,pending,
body|RelatedTo|extremity,body,RelatedTo,extremity,torso.n.01: the body excluding the head and neck and limbs,extremity.n.01: an external body part that projects from the body || extremity.n.04: the outermost or farthest region or point || extremity.n.05: that part of a limb that is farthest from the torso,,,pending,
body|UsedFor|food,body,UsedFor,food,torso.n.01: the body excluding the head and neck and limbs,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
border|RelatedTo|region,border,RelatedTo,region,border.n.05: a strip forming the outer edge of something,region.n.01: the extended spatial location of something || region.n.03: a large indefinite location on the surface of the Earth,,,pending,
borderland|DerivedFrom|land,borderland,DerivedFrom,land,borderland.n.01: district consisting of the area on either side of a border or boundary of a country or an area,country.n.02: the territory occupied by a nation || domain.n.02: territory over which rule or control is exercised,,,pending,
borderland|IsA|land,borderland,IsA,land,borderland.n.01: district consisting of the area on either side of a border or boundary of a country or an area,country.n.02: the territory occupied by a nation || domain.n.02: territory over which rule or control is exercised,,,pending,
borderland|RelatedTo|land,borderland,RelatedTo,land,borderland.n.01: district consisting of the area on either side of a border or boundary of a country or an area,country.n.02: the territory occupied by a nation || domain.n.02: territory over which rule or control is exercised,,,pending,
bottom|IsA|region,bottom,IsA,region,buttocks.n.01: the fleshy part of the human body that you sit on,region.n.01: the extended spatial location of something || region.n.03: a large indefinite location on the surface of the Earth,,,pending,
bread|RelatedTo|food,bread,RelatedTo,food,bread.n.01: food made from dough of flour or meal and usually raised with yeast or baking powder and then baked,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
bread|RelatedTo|good,bread,RelatedTo,good,bread.n.01: food made from dough of flour or meal and usually raised with yeast or baking powder and then baked,adept.s.01: having or showing knowledge and skill and aptitude || estimable.s.01: deserving of esteem and respect,,,pending,
breadbasket|RelatedTo|abdomen,breadbasket,RelatedTo,abdomen,breadbasket.n.01: a geographic region serving as the principal source of grain,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis || abdominal_cavity.n.01: the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm,,,pending,
breadbasket|RelatedTo|food,breadbasket,RelatedTo,food,breadbasket.n.01: a geographic region serving as the principal source of grain,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
breadbasket|RelatedTo|region,breadbasket,RelatedTo,region,breadbasket.n.01: a geographic region serving as the principal source of grain,region.n.01: the extended spatial location of something || region.n.03: a large indefinite location on the surface of the Earth,,,pending,
breast|RelatedTo|chest,breast,RelatedTo,chest,breast.n.01: the front of the trunk from the neck to the abdomen,breast.n.01: the front of the trunk from the neck to the abdomen || thorax.n.02: the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates,,,pending,
breast|Synonym|chest,breast,Synonym,chest,breast.n.01: the front of the trunk from the neck to the abdomen,breast.n.01: the front of the trunk from the neck to the abdomen || thorax.n.02: the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates,,,pending,
broaden|RelatedTo|enlarge,broaden,RelatedTo,enlarge,widen.v.04: extend in scope or range or area,blow_up.v.02: make large || enlarge.v.01: make larger,,,pending,
bust|RelatedTo|shoulder,bust,RelatedTo,shoulder,female_chest.n.01: the chest of a woman,shoulder.n.01: the part of the body between the neck and the upper arm || shoulder.n.03: a ball-and-socket joint between the head of the humerus and a cavity of the scapula || shoulder.n.04: the part of a garment that covers or fits over the shoulder,,,pending,
butter|MadeOf|milk,butter,MadeOf,milk,butter.n.01: an edible emulsion of fat globules made by churning milk or cream; for cooking and table use,milk.n.01: a white nutritious liquid secreted by mammals and used as food by human beings || milk.n.02: produced by mammary glands of female mammals for feeding their young,,,pending,
butter|RelatedTo|milk,butter,RelatedTo,milk,butter.n.01: an edible emulsion of fat globules made by churning milk or cream; for cooking and table use,milk.n.01: a white nutritious liquid secreted by mammals and used as food by human beings || milk.n.02: produced by mammary glands of female mammals for feeding their young,,,pending,
can|RelatedTo|food,can,RelatedTo,food,buttocks.n.01: the fleshy part of the human body that you sit on,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
can|UsedFor|food,can,UsedFor,food,buttocks.n.01: the fleshy part of the human body that you sit on,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
caress|SimilarTo|chuck,caress,SimilarTo,chuck,caress.v.01: touch or stroke lightly in a loving or endearing manner,"chow.n.02: informal terms for a meal || chuck.v.03: pat or squeeze fondly or playfully, especially under the chin",,,pending,
caseworm|RelatedTo|grub,caseworm,RelatedTo,grub,caseworm.n.01: insect larva that constructs a protective case around its body,chow.n.02: informal terms for a meal || grub.n.02: a soft thick wormlike larva of certain beetles and other insects,,,pending,
cervix|RelatedTo|neck,cervix,RelatedTo,neck,neck.n.01: the part of an organism (human or animal) that connects the head to the rest of the body,neck.n.01: the part of an organism (human or animal) that connects the head to the rest of the body || neck.n.05: an opening in a garment for the neck of the wearer; a part of the garment near the wearer's neck,,,pending,
cervix|Synonym|neck,cervix,Synonym,neck,neck.n.01: the part of an organism (human or animal) that connects the head to the rest of the body,neck.n.01: the part of an organism (human or animal) that connects the head to the rest of the body || neck.n.05: an opening in a garment for the neck of the wearer; a part of the garment near the wearer's neck,,,pending,
chalaza|RelatedTo|yolk,chalaza,RelatedTo,yolk,chalaza.n.02: one of two spiral bands of tissue connecting the egg yolk to the enclosing membrane at either end of the shell,egg_yolk.n.01: the yellow spherical part of an egg that is surrounded by the albumen || yolk.n.02: nutritive material of an ovum stored for the nutrition of an embryo (especially the yellow mass of a bird or reptile egg),,,pending,
cheese|MadeOf|milk,cheese,MadeOf,milk,cheese.n.01: a solid food prepared from the pressed curd of milk,milk.n.01: a white nutritious liquid secreted by mammals and used as food by human beings || milk.n.02: produced by mammary glands of female mammals for feeding their young,,,pending,
cheese|RelatedTo|milk,cheese,RelatedTo,milk,cheese.n.01: a solid food prepared from the pressed curd of milk,milk.n.01: a white nutritious liquid secreted by mammals and used as food by human beings || milk.n.02: produced by mammary glands of female mammals for feeding their young,,,pending,
chest|AtLocation|body,chest,AtLocation,body,breast.n.01: the front of the trunk from the neck to the abdomen || thorax.n.02: the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates,torso.n.01: the body excluding the head and neck and limbs,,,pending,
chest|IsA|furniture,chest,IsA,furniture,breast.n.01: the front of the trunk from the neck to the abdomen || thorax.n.02: the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates,furniture.n.01: furnishings that make a room or other area ready for occupancy,,,pending,
chest|RelatedTo|thorax,chest,RelatedTo,thorax,breast.n.01: the front of the trunk from the neck to the abdomen || thorax.n.02: the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates,thorax.n.02: the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates,,,pending,
chest|Synonym|breast,chest,Synonym,breast,breast.n.01: the front of the trunk from the neck to the abdomen || thorax.n.02: the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates,breast.n.01: the front of the trunk from the neck to the abdomen,,,pending,
chest|Synonym|thorax,chest,Synonym,thorax,breast.n.01: the front of the trunk from the neck to the abdomen || thorax.n.02: the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates,thorax.n.02: the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates,,,pending,
chest|Synonym|trunk,chest,Synonym,trunk,breast.n.01: the front of the trunk from the neck to the abdomen || thorax.n.02: the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates,torso.n.01: the body excluding the head and neck and limbs,,,pending,
chocolate|HasProperty|good,chocolate,HasProperty,good,chocolate.n.02: a food made from roasted ground cacao beans || cocoa.n.01: a beverage made from cocoa powder and milk and sugar; usually drunk hot,adept.s.01: having or showing knowledge and skill and aptitude || estimable.s.01: deserving of esteem and respect,,,pending,
chocolate|RelatedTo|drink,chocolate,RelatedTo,drink,chocolate.n.02: a food made from roasted ground cacao beans || cocoa.n.01: a beverage made from cocoa powder and milk and sugar; usually drunk hot,beverage.n.01: any liquid suitable for drinking,,,pending,
chocolate|RelatedTo|milk,chocolate,RelatedTo,milk,chocolate.n.02: a food made from roasted ground cacao beans || cocoa.n.01: a beverage made from cocoa powder and milk and sugar; usually drunk hot,milk.n.01: a white nutritious liquid secreted by mammals and used as food by human beings || milk.n.02: produced by mammary glands of female mammals for feeding their young,,,pending,
chocolate|Synonym|cocoa,chocolate,Synonym,cocoa,chocolate.n.02: a food made from roasted ground cacao beans || cocoa.n.01: a beverage made from cocoa powder and milk and sugar; usually drunk hot,cocoa.n.01: a beverage made from cocoa powder and milk and sugar; usually drunk hot || cocoa.n.02: powder of ground roasted cacao beans with most of the fat removed,,,pending,
chuck|MannerOf|caress,chuck,MannerOf,caress,"chow.n.02: informal terms for a meal || chuck.v.03: pat or squeeze fondly or playfully, especially under the chin",caress.v.01: touch or stroke lightly in a loving or endearing manner,,,pending,
chuck|RelatedTo|food,chuck,RelatedTo,food,"chow.n.02: informal terms for a meal || chuck.v.03: pat or squeeze fondly or playfully, especially under the chin",food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
chuck|RelatedTo|meat,chuck,RelatedTo,meat,"chow.n.02: informal terms for a meal || chuck.v.03: pat or squeeze fondly or playfully, especially under the chin",meat.n.01: the flesh of animals (including fishes and birds and snails) used as food,,,pending,
chuck|RelatedTo|shoulder,chuck,RelatedTo,shoulder,"chow.n.02: informal terms for a meal || chuck.v.03: pat or squeeze fondly or playfully, especially under the chin",shoulder.n.01: the part of the body between the neck and the upper arm || shoulder.n.03: a ball-and-socket joint between the head of the humerus and a cavity of the scapula || shoulder.n.04: the part of a garment that covers or fits over the shoulder,,,pending,
chuck|Synonym|chow,chuck,Synonym,chow,"chow.n.02: informal terms for a meal || chuck.v.03: pat or squeeze fondly or playfully, especially under the chin",chow.n.02: informal terms for a meal,,,pending,
chyme|RelatedTo|food,chyme,RelatedTo,food,chyme.n.01: a semiliquid mass of partially digested food that passes from the stomach through the pyloric sphincter into the duodenum,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
cocoa|RelatedTo|chocolate,cocoa,RelatedTo,chocolate,cocoa.n.01: a beverage made from cocoa powder and milk and sugar; usually drunk hot || cocoa.n.02: powder of ground roasted cacao beans with most of the fat removed,chocolate.n.02: a food made from roasted ground cacao beans || cocoa.n.01: a beverage made from cocoa powder and milk and sugar; usually drunk hot,,,pending,
cocoa|Synonym|chocolate,cocoa,Synonym,chocolate,cocoa.n.01: a beverage made from cocoa powder and milk and sugar; usually drunk hot || cocoa.n.02: powder of ground roasted cacao beans with most of the fat removed,chocolate.n.02: a food made from roasted ground cacao beans || cocoa.n.01: a beverage made from cocoa powder and milk and sugar; usually drunk hot,,,pending,
cocoanut|Synonym|coconut,cocoanut,Synonym,coconut,coconut.n.02: large hard-shelled oval nut with a fibrous husk containing thick white meat surrounding a central cavity filled (when fresh) with fluid or milk,coconut.n.01: the edible white meat of a coconut; often shredded for use in e.g. cakes and curries || coconut.n.02: large hard-shelled oval nut with a fibrous husk containing thick white meat surrounding a central cavity filled (when fresh) with fluid or milk,,,pending,
coconut|RelatedTo|breast,coconut,RelatedTo,breast,coconut.n.01: the edible white meat of a coconut; often shredded for use in e.g. cakes and curries || coconut.n.02: large hard-shelled oval nut with a fibrous husk containing thick white meat surrounding a central cavity filled (when fresh) with fluid or milk,breast.n.01: the front of the trunk from the neck to the abdomen,,,pending,
coconut|RelatedTo|edible,coconut,RelatedTo,edible,coconut.n.01: the edible white meat of a coconut; often shredded for use in e.g. cakes and curries || coconut.n.02: large hard-shelled oval nut with a fibrous husk containing thick white meat surrounding a central cavity filled (when fresh) with fluid or milk,comestible.n.01: any substance that can be used as food,,,pending,
coffee|Synonym|chocolate,coffee,Synonym,chocolate,coffee.n.01: a beverage consisting of an infusion of ground coffee beans,chocolate.n.02: a food made from roasted ground cacao beans || cocoa.n.01: a beverage made from cocoa powder and milk and sugar; usually drunk hot,,,pending,
comestible|RelatedTo|food,comestible,RelatedTo,food,comestible.n.01: any substance that can be used as food,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
commissariat|RelatedTo|food,commissariat,RelatedTo,food,commissariat.n.01: a stock or supply of foods,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
complete|SimilarTo|good,complete,SimilarTo,good,accomplished.s.01: highly skilled,adept.s.01: having or showing knowledge and skill and aptitude || estimable.s.01: deserving of esteem and respect,,,pending,
cooler|RelatedTo|food,cooler,RelatedTo,food,cooler.n.02: an iced drink especially white wine and fruit juice,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
copra|RelatedTo|coconut,copra,RelatedTo,coconut,copra.n.01: the dried meat of the coconut from which oil is extracted,coconut.n.01: the edible white meat of a coconut; often shredded for use in e.g. cakes and curries || coconut.n.02: large hard-shelled oval nut with a fibrous husk containing thick white meat surrounding a central cavity filled (when fresh) with fluid or milk,,,pending,
country|AtLocation|region,country,AtLocation,region,country.n.02: the territory occupied by a nation,region.n.01: the extended spatial location of something || region.n.03: a large indefinite location on the surface of the Earth,,,pending,
country|IsA|region,country,IsA,region,country.n.02: the territory occupied by a nation,region.n.01: the extended spatial location of something || region.n.03: a large indefinite location on the surface of the Earth,,,pending,
country|RelatedTo|land,country,RelatedTo,land,country.n.02: the territory occupied by a nation,country.n.02: the territory occupied by a nation || domain.n.02: territory over which rule or control is exercised,,,pending,
country|RelatedTo|region,country,RelatedTo,region,country.n.02: the territory occupied by a nation,region.n.01: the extended spatial location of something || region.n.03: a large indefinite location on the surface of the Earth,,,pending,
cream|RelatedTo|milk,cream,RelatedTo,milk,cream.n.03: toiletry consisting of any of various substances in the form of a thick liquid that have a soothing and moisturizing effect when applied to the skin,milk.n.01: a white nutritious liquid secreted by mammals and used as food by human beings || milk.n.02: produced by mammary glands of female mammals for feeding their young,,,pending,
creditable|RelatedTo|respectable,creditable,RelatedTo,respectable,creditable.s.01: worthy of often limited commendation,estimable.s.01: deserving of esteem and respect || respectable.a.01: characterized by socially or conventionally acceptable morals,,,pending,
croup|RelatedTo|rump,croup,RelatedTo,rump,hindquarters.n.02: the part of an animal that corresponds to the human buttocks,buttocks.n.01: the fleshy part of the human body that you sit on || hindquarters.n.02: the part of an animal that corresponds to the human buttocks,,,pending,
croup|Synonym|hindquarters,croup,Synonym,hindquarters,hindquarters.n.02: the part of an animal that corresponds to the human buttocks,buttocks.n.01: the fleshy part of the human body that you sit on || hindquarters.n.02: the part of an animal that corresponds to the human buttocks,,,pending,
croupe|Synonym|hindquarters,croupe,Synonym,hindquarters,hindquarters.n.02: the part of an animal that corresponds to the human buttocks,buttocks.n.01: the fleshy part of the human body that you sit on || hindquarters.n.02: the part of an animal that corresponds to the human buttocks,,,pending,
dag|Synonym|jag,dag,Synonym,jag,jag.n.03: a flap along the edge of a garment; used in medieval clothing,jag.n.02: a slit in a garment that exposes material of a different color underneath; used in Renaissance clothing || jag.n.03: a flap along the edge of a garment; used in medieval clothing,,,pending,
dandle|RelatedTo|pet,dandle,RelatedTo,pet,dandle.v.02: pet,"pet.v.01: stroke or caress gently || pet.v.02: stroke or caress in an erotic manner, as during lovemaking",,,pending,
deer|RelatedTo|hoof,deer,RelatedTo,hoof,deer.n.01: distinguished from Bovidae by the male's having solid deciduous antlers,hoof.n.01: the foot of an ungulate mammal || hoof.n.02: the horny covering of the end of the foot in ungulate mammals,,,pending,
delicacy|RelatedTo|food,delicacy,RelatedTo,food,dainty.n.01: something considered choice to eat,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
demesne|RelatedTo|land,demesne,RelatedTo,land,domain.n.02: territory over which rule or control is exercised,country.n.02: the territory occupied by a nation || domain.n.02: territory over which rule or control is exercised,,,pending,
diaphragm|RelatedTo|abdomen,diaphragm,RelatedTo,abdomen,diaphragm.n.02: (anatomy) a muscular partition separating the abdominal and thoracic cavities; functions in respiration,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis || abdominal_cavity.n.01: the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm,,,pending,
diet|RelatedTo|beverage,diet,RelatedTo,beverage,diet.n.01: a prescribed selection of foods || diet.n.03: the usual food and drink consumed by an organism (person or animal),beverage.n.01: any liquid suitable for drinking,,,pending,
diet|RelatedTo|food,diet,RelatedTo,food,diet.n.01: a prescribed selection of foods || diet.n.03: the usual food and drink consumed by an organism (person or animal),food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
dietary|DerivedFrom|diet,dietary,DerivedFrom,diet,dietary.n.01: a regulated daily food allowance,diet.n.01: a prescribed selection of foods || diet.n.03: the usual food and drink consumed by an organism (person or animal),,,pending,
dietary|RelatedTo|diet,dietary,RelatedTo,diet,dietary.n.01: a regulated daily food allowance,diet.n.01: a prescribed selection of foods || diet.n.03: the usual food and drink consumed by an organism (person or animal),,,pending,
digit|RelatedTo|extremity,digit,RelatedTo,extremity,digit.n.03: a finger or toe in human beings or corresponding body part in other vertebrates,extremity.n.01: an external body part that projects from the body || extremity.n.04: the outermost or farthest region or point || extremity.n.05: that part of a limb that is farthest from the torso,,,pending,
digit|RelatedTo|toe,digit,RelatedTo,toe,digit.n.03: a finger or toe in human beings or corresponding body part in other vertebrates,toe.n.01: one of the digits of the foot || toe.n.03: forepart of a hoof,,,pending,
district|RelatedTo|region,district,RelatedTo,region,district.n.01: a region marked off for administrative or other purposes,region.n.01: the extended spatial location of something || region.n.03: a large indefinite location on the surface of the Earth,,,pending,
dough|RelatedTo|egg,dough,RelatedTo,egg,dough.n.01: a flour mixture stiff enough to knead or roll,egg.n.01: animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds || egg.n.02: oval reproductive body of a fowl (especially a hen) used as food,,,pending,
dribble|RelatedTo|drip,dribble,RelatedTo,drip,dribble.v.02: let or cause to fall in drops,dribble.v.02: let or cause to fall in drops || drip.v.01: fall in drops,,,pending,
dribble|Synonym|drip,dribble,Synonym,drip,dribble.v.02: let or cause to fall in drops,dribble.v.02: let or cause to fall in drops || drip.v.01: fall in drops,,,pending,
drink|Antonym|food,drink,Antonym,food,beverage.n.01: any liquid suitable for drinking,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
drink|RelatedTo|food,drink,RelatedTo,food,beverage.n.01: any liquid suitable for drinking,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
